trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9999988750002109}",20,0,-77.89667225394915,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.999995500003375}",20,0,-126.55352742796553,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9999898750170859}",25,0,-193.8348080726817,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.999982000054}",30,0,-135.34530423334903,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.9999718751318357}",25,0,-102.59894032926893,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9999595002733742}",25,0,-78.14184211349752,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.999944875506459}",25,0,-80.36187153275873,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9999280008639958}",30,10,-68.18431798206532,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.9910403787728836, 'e': 0.9999088763839525}",20,0,-151.3566818561429,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9998875021093592}",20,0,-93.10840157075997,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.9998638780883079}",20,6,-47.57282726010291,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.9880717128619305, 'e': 0.9998380043739528}",20,0,-187.40151349765296,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.9998098810245096}",20,0,-161.44964084443754,"{0: 9, 1: 0, 2: 7, 3: 3, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.9997795081032559}",25,12,-37.94726596256492,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.9851119396030626, 'e': 0.9997468856785308}",20,0,-90.86000091504118,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.9997120138237345}",20,0,-51.47718385732811,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.9996748926173291}",20,0,-122.60854115119662,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.9996355221428369}",20,0,-152.33447764374722,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.981179362242806, 'e': 0.9995939024888416}",20,0,-96.57783136930189,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
